,Código Departamento,Departamento,Municipio,Tasa
5001,5,ANTIOQUIA,MEDELLIN,0.8333333333333334
5002,5,ANTIOQUIA,ABEJORRAL,0.3333333333333333
5004,5,ANTIOQUIA,ABRIAQUI,0.5
5021,5,ANTIOQUIA,ALEJANDRIA,0.3333333333333333
5030,5,ANTIOQUIA,AMAGA,0.16666666666666666
5031,5,ANTIOQUIA,AMALFI,3.5
5034,5,ANTIOQUIA,ANDES,2.5
5038,5,ANTIOQUIA,ANGOSTURA,0.16666666666666666
5040,5,ANTIOQUIA,ANORI,1.5
5042,5,ANTIOQUIA,ANTIOQUIA,0.3333333333333333
5044,5,ANTIOQUIA,ANZA,0.16666666666666666
5045,5,ANTIOQUIA,APARTADO,5.333333333333333
5051,5,ANTIOQUIA,ARBOLETES,3.5
5055,5,ANTIOQUIA,ARGELIA,0.6666666666666666
5079,5,ANTIOQUIA,BARBOSA,0.16666666666666666
5088,5,ANTIOQUIA,BELLO,0.16666666666666666
5091,5,ANTIOQUIA,BETANIA,0.3333333333333333
5093,5,ANTIOQUIA,BETULIA,1.5
5101,5,ANTIOQUIA,BOLIVAR,2.1666666666666665
5107,5,ANTIOQUIA,BRICENO,1.0
5113,5,ANTIOQUIA,BURITICA,0.16666666666666666
5120,5,ANTIOQUIA,CACERES,2.3333333333333335
5129,5,ANTIOQUIA,CALDAS,0.3333333333333333
5134,5,ANTIOQUIA,CAMPAMENTO,1.0
5142,5,ANTIOQUIA,CARACOLI,0.16666666666666666
5147,5,ANTIOQUIA,CAREPA,2.1666666666666665
5150,5,ANTIOQUIA,CAROLINA,0.3333333333333333
5154,5,ANTIOQUIA,CAUCASIA,1.5
5172,5,ANTIOQUIA,CHIGORODO,3.0
5190,5,ANTIOQUIA,CISNEROS,0.16666666666666666
5197,5,ANTIOQUIA,COCORNA,1.1666666666666667
5209,5,ANTIOQUIA,CONCORDIA,1.1666666666666667
5212,5,ANTIOQUIA,COPACABANA,0.16666666666666666
5234,5,ANTIOQUIA,DABEIBA,1.6666666666666667
5240,5,ANTIOQUIA,EBEJICO,0.6666666666666666
5250,5,ANTIOQUIA,EL BAGRE,5.666666666666667
5266,5,ANTIOQUIA,ENVIGADO,0.16666666666666666
5284,5,ANTIOQUIA,FRONTINO,2.1666666666666665
5308,5,ANTIOQUIA,GIRARDOTA,0.16666666666666666
5310,5,ANTIOQUIA,GOMEZ PLATA,0.6666666666666666
5315,5,ANTIOQUIA,GUADALUPE,0.16666666666666666
5347,5,ANTIOQUIA,HELICONIA,0.5
5361,5,ANTIOQUIA,ITUANGO,0.6666666666666666
5364,5,ANTIOQUIA,JARDIN,0.3333333333333333
5380,5,ANTIOQUIA,LA ESTRELLA,0.16666666666666666
5425,5,ANTIOQUIA,MACEO,1.3333333333333333
5467,5,ANTIOQUIA,MONTEBELLO,0.16666666666666666
5475,5,ANTIOQUIA,MURINDO,2.8333333333333335
5480,5,ANTIOQUIA,MUTATA,3.6666666666666665
5483,5,ANTIOQUIA,NARIÃ‘O,0.5
5490,5,ANTIOQUIA,NECOCLI,8.833333333333334
5495,5,ANTIOQUIA,NECHI,3.8333333333333335
5576,5,ANTIOQUIA,PUEBLORRICO,0.16666666666666666
5579,5,ANTIOQUIA,PUERTO BERRIO,2.5
5585,5,ANTIOQUIA,PUERTO NARE (LA MAGDALENA ),0.5
5591,5,ANTIOQUIA,PUERTO TRIUNFO,1.3333333333333333
5604,5,ANTIOQUIA,REMEDIOS,2.5
5607,5,ANTIOQUIA,RETIRO,0.16666666666666666
5615,5,ANTIOQUIA,RIONEGRO,0.16666666666666666
5628,5,ANTIOQUIA,SABANALARGA,0.3333333333333333
5631,5,ANTIOQUIA,SABANETA,0.16666666666666666
5642,5,ANTIOQUIA,SALGAR,0.8333333333333334
5649,5,ANTIOQUIA,SAN CARLOS,1.6666666666666667
5652,5,ANTIOQUIA,SAN FRANCISCO,0.5
5656,5,ANTIOQUIA,SAN JERONIMO,0.16666666666666666
5659,5,ANTIOQUIA,SAN JUAN DE URABA,2.6666666666666665
5660,5,ANTIOQUIA,SAN LUIS,2.0
5665,5,ANTIOQUIA,SAN PEDRO DE URABA,3.5
5667,5,ANTIOQUIA,SAN RAFAEL,1.8333333333333333
5670,5,ANTIOQUIA,SAN ROQUE,2.6666666666666665
5679,5,ANTIOQUIA,SANTA BARBARA,0.16666666666666666
5686,5,ANTIOQUIA,SANTA ROSA DE OSOS,0.8333333333333334
5690,5,ANTIOQUIA,SANTO DOMINGO,0.6666666666666666
5736,5,ANTIOQUIA,SEGOVIA,1.8333333333333333
5756,5,ANTIOQUIA,SONSON,0.16666666666666666
5761,5,ANTIOQUIA,SOPETRAN,0.3333333333333333
5790,5,ANTIOQUIA,TARAZA,3.0
5837,5,ANTIOQUIA,TURBO,9.5
5842,5,ANTIOQUIA,URAMITA,0.16666666666666666
5847,5,ANTIOQUIA,URRAO,1.5
5854,5,ANTIOQUIA,VALDIVIA,5.333333333333333
5858,5,ANTIOQUIA,VEGACHI,1.0
5861,5,ANTIOQUIA,VENECIA,0.16666666666666666
5873,5,ANTIOQUIA,VIGIA DEL FUERTE,0.8333333333333334
5885,5,ANTIOQUIA,YALI,0.6666666666666666
5887,5,ANTIOQUIA,YARUMAL,1.3333333333333333
5890,5,ANTIOQUIA,YOLOMBO,3.1666666666666665
5893,5,ANTIOQUIA,YONDO (CASABE),1.5
5895,5,ANTIOQUIA,ZARAGOZA,2.8333333333333335
8001,8,ATLANTICO,BARRANQUILLA,2.1666666666666665
