"","Departamento","Región","Código Centroide","Centroide"
"5","Antioquia","Andina",5001,"Medellín"
"15","Boyacá","Andina",15238,"Duitama"
"17","Caldas","Andina",17001,"Manizales"
"25","Cundinamarca","Andina",11001,"Bogotá"
"41","Huila","Andina",41001,"Neiva"
"54","Norte de Santander","Andina",54001,"Cúcuta"
"63","Quindío","Andina",63001,"Armenia"
"66","Risaralda","Andina",66001,"Pereira"
"68","Santander","Andina",68001,"Bucaramanga"
"73","Tolima","Andina",73001,"Ibagué"
"91","Amazonas","Amazonía",91001,"Leticia"
"18","Caquetá","Amazonía",18001,"Florencia"
"94","Guainía","Amazonía",94001,"Inídrida"
"95","Guaviare","Amazonía",95001,"San José del Guaviare"
"86","Putumayo","Amazonía",86001,"Mocoa"
"97","Vaupés","Amazonía",97001,"Mitú"
"76","Valle del Cauca","Pacífico",76001,"Cali"
"27","Chocó","Pacífico",27001,"Quibdó"
"19","Cauca","Pacífico",19001,"Popayán"
"52","Nariño","Pacífico",52405,"Leiva"
"8","Atlántico","Caribe",8001,"Barranquilla"
"13","Bolívar","Caribe",13001,"Cartagena"
"20","Cesar","Caribe",20001,"Valledupar"
"23","Córdoba","Caribe",23001,"Montería"
"44","La Guajira","Caribe",44001,"Riohacha"
"47","Magdalena","Caribe",47001,"Santa Marta"
"70","Sucre","Caribe",70001,"Sincelejo"
"88","San Andrés y Providencia","Caribe",88001,"San Andrés"
"81","Arauca","Orinoquía",81001,"Arauca"
"85","Casanare","Orinoquía",85001,"Yopal"
"50","Meta","Orinoquía",50001,"Villavicencio"
"99","Vichada","Orinoquía",99001,"Puerto Carreño"
