Código Departamento;Departamento;Color
5;Antioquia;B47C00
50;Meta;FFC2F1
27;Chocó;B09CFF
41;Huila;FB4C0C
13;Bolívar;8DEEFF
25;Cundinamarca;FFFF04
20;Cesar;006FFF
68;Santander;902106
17;Caldas;CC7E44
85;Casanare;FF8DC0
18;Caquetá;25983C
44;La Guajira;3498DB
52;Nariño;8C54D0
76;Valle del Cauca;46087C
47;Magdalena;9DBBD8
19;Cauca;A400C7
15;Boyacá;FF0000
73;Tolima;C00000
66;Risaralda;FFE99F
81;Arauca;D33F86
54;Norte de Santander;FF7D38
63;Quindío;FDA461
23;Córdoba;8DDFFF
8;Atlántico;3FB7FF
70;Sucre;0487BA
95;Guaviare;6B983C
97;Vaupés;00FF33
86;Putumayo;54D06D
99;Vichada;FF00D4
94;Guainía;7CD445
91;Amazonas;155F32
88;San Andrés;120377
