,hier,GMM,GMMCapitals,GMMBridges
5002,15,15,15,15
5004,15,15,15,15
50006,8,8,8,8
27006,6,6,6,6
41006,5,5,5,5
13006,26,26,26,26
41013,5,5,5,5
25001,28,28,28,28
20011,10,10,10,10
17013,1,1,1,1
85010,12,12,12,12
20013,30,30,30,30
18029,21,21,21,21
44035,30,30,30,30
52019,27,27,27,27
5021,26,26,26,26
47030,2,2,2,2
41020,5,5,5,5
19022,27,27,27,27
73024,5,5,5,5
41026,5,5,5,5
27025,31,31,31,31
13030,10,10,10,10
73026,28,28,28,28
5030,15,15,15,15
5031,26,26,26,26
73030,16,16,16,16
25035,16,16,16,16
52036,27,27,27,27
76036,22,22,22,22
5034,1,1,1,1
5038,26,26,26,26
25040,16,16,16,16
5040,26,26,26,26
17042,1,1,1,1
76041,11,11,11,11
73043,11,11,11,11
5044,15,15,15,15
5045,6,6,6,6
25599,16,16,16,16
66045,1,1,1,1
47053,2,2,2,2
81001,12,12,12,12
81065,12,12,12,12
25053,28,28,28,28
54051,25,25,25,25
5051,6,6,6,6
13042,10,10,10,10
5055,1,1,1,1
19050,14,14,14,14
76054,11,11,11,11
47058,2,2,2,2
13052,9,9,9,9
63001,11,11,11,11
73055,16,16,16,16
20032,10,10,10,10
73067,22,22,22,22
27050,31,31,31,31
23068,26,26,26,26
27073,1,1,1,1
27075,6,6,6,6
27077,1,1,1,1
19075,27,27,27,27
66075,11,11,11,11
8078,9,9,9,9
52079,3,3,3,3
5079,26,26,26,26
68077,24,24,24,24
50110,19,19,19,19
68081,4,4,4,4
44078,30,30,30,30
13074,10,10,10,10
8001,9,9,9,9
20045,30,30,30,30
5088,15,15,15,15
25086,16,16,16,16
27086,6,6,6,6
66088,1,1,1,1
18094,21,21,21,21
5091,15,15,15,15
5093,15,15,15,15
68092,4,4,4,4
54099,25,25,25,25
11001,16,16,16,16
27099,6,6,6,6
5101,15,15,15,15
19100,27,27,27,27
68101,24,24,24,24
76100,22,22,22,22
20060,2,2,2,2
5107,26,26,26,26
68001,4,4,4,4
54109,25,25,25,25
76109,22,22,22,22
15109,1,1,1,1
23079,18,18,18,18
70110,18,18,18,18
19110,22,22,22,22
52110,3,3,3,3
76111,22,22,22,22
76113,22,22,22,22
5113,15,15,15,15
50124,19,19,19,19
70124,26,26,26,26
73124,11,11,11,11
19130,14,14,14,14
13140,9,9,9,9
95015,17,17,17,17
63130,11,11,11,11
5129,15,15,15,15
19137,22,22,22,22
76126,22,22,22,22
19142,22,22,22,22
76001,22,22,22,22
5134,26,26,26,26
8137,9,9,9,9
41132,5,5,5,5
15135,19,19,19,19
23090,18,18,18,18
8141,9,9,9,9
13160,4,4,4,4
27135,31,31,31,31
25148,1,1,1,1
5142,29,29,29,29
5147,6,6,6,6
73148,28,28,28,28
27150,6,6,6,6
5150,26,26,26,26
13001,9,9,9,9
18150,21,21,21,21
97161,7,7,7,7
73152,16,16,16,16
50150,8,8,8,8
5154,26,26,26,26
23162,18,18,18,18
47161,2,2,2,2
25168,16,16,16,16
70230,18,18,18,18
73168,11,11,11,11
5172,6,6,6,6
20175,10,10,10,10
23168,18,18,18,18
17174,11,11,11,11
54172,25,25,25,25
23182,18,18,18,18
25178,16,16,16,16
20178,30,30,30,30
15183,12,12,12,12
47170,2,2,2,2
25181,16,16,16,16
85015,19,19,19,19
13188,10,10,10,10
68190,24,24,24,24
63190,11,11,11,11
5190,26,26,26,26
47189,2,2,2,2
23189,18,18,18,18
13222,9,9,9,9
5197,29,29,29,29
73200,28,28,28,28
70204,18,18,18,18
5209,15,15,15,15
47205,2,2,2,2
27205,31,31,31,31
68209,24,24,24,24
54206,25,25,25,25
5212,15,15,15,15
63212,11,11,11,11
19212,22,22,22,22
68217,24,24,24,24
70215,18,18,18,18
23300,18,18,18,18
70221,18,18,18,18
73217,28,28,28,28
81220,23,23,23,23
50223,8,8,8,8
15223,25,25,25,25
50226,19,19,19,19
99773,23,23,23,23
73226,28,28,28,28
18205,21,21,21,21
68229,24,24,24,24
20228,30,30,30,30
5120,26,26,26,26
54128,4,4,4,4
25151,16,16,16,16
27160,31,31,31,31
54001,25,25,25,25
5234,15,15,15,15
76233,22,22,22,22
44090,2,2,2,2
44098,30,30,30,30
73236,28,28,28,28
66170,11,11,11,11
15238,19,19,19,19
54239,25,25,25,25
5240,15,15,15,15
5250,26,26,26,26
47245,10,10,10,10
76246,31,31,31,31
54245,10,10,10,10
68235,4,4,4,4
13244,18,18,18,18
50251,8,8,8,8
76248,22,22,22,22
52250,14,14,14,14
20238,2,2,2,2
18247,21,21,21,21
50270,17,17,17,17
68245,24,24,24,24
13248,2,2,2,2
44110,30,30,30,30
20250,30,30,30,30
18256,21,21,21,21
52254,27,27,27,27
13268,10,10,10,10
47258,2,2,2,2
68255,4,4,4,4
95025,17,17,17,17
47268,2,2,2,2
70233,18,18,18,18
52256,27,27,27,27
19256,14,14,14,14
52260,27,27,27,27
54250,25,25,25,25
54261,25,25,25,25
76243,11,11,11,11
41244,5,5,5,5
68266,24,24,24,24
5266,15,15,15,15
73268,28,28,28,28
25269,16,16,16,16
73270,1,1,1,1
17272,1,1,1,1
73275,28,28,28,28
18001,5,5,5,5
76275,22,22,22,22
68276,4,4,4,4
68271,1,1,1,1
44279,30,30,30,30
81300,12,12,12,12
52520,14,14,14,14
73283,1,1,1,1
5284,15,15,15,15
50287,8,8,8,8
47288,2,2,2,2
52287,3,3,3,3
25290,16,16,16,16
25279,16,16,16,16
25293,19,19,19,19
8296,9,9,9,9
70235,18,18,18,18
68296,4,4,4,4
25299,19,19,19,19
20295,10,10,10,10
41298,5,5,5,5
41306,5,5,5,5
76306,22,22,22,22
25307,28,28,28,28
5308,15,15,15,15
20310,10,10,10,10
54313,25,25,25,25
50313,8,8,8,8
76318,22,22,22,22
